GenBank Nucleotide Accession	GenBank Protein Accession
NM_003288	BAB93483; XP_011527336; BAG51460; BAG60608; NP_955393; AAC98477; AAC98478; AAV38437; NP_001230823; NP_001230824; ; EAW75197; BAD96751; AAQ95044; XP_016883527; NP_955395; EAW75196; EAW75199; BAG59585; BAG37101; AAH06804; CAG46833; XP_011527337; NP_955392; NP_955394; EAW75194; EAW75195; EAW75198; EAW75200; NP_001230820; NP_001230821; NP_003279; EAW75201; BAG56865; CAH18065; NP_955391; O43399
NM_006371	EAW64449; EAW64450; CAA07054; BAG37263; NP_001380294; BAG50954; NP_001380292; ; BAC03743; AAH08745; BAG52129; BAG53502; BAG52633; BAG60515; NP_001380293; NP_006362; BAG54328; EAW64448; O75718
AF057356	AAC21458
NM_014412	Q9HB71; AAG34170; AAC21458; CAA22910; NP_055227; ; BAG52713; AAH22352; AAH67823; XP_016856535; EAW90982; BAG57394; CAC22475; EAW90983; AAS00486; AAH78151; NP_001007215; AAG23817; BAG36086; AAH05975
AL044170	-
NM_005899	EAW60948; EAW60951; EAW60952; BAF82694; AAS15047; XP_016880132; XP_024306518; NP_005890; NP_114068; ABA29216; ABA29219; BAH12580; AAH09808; ; ABA29213; EAW60953; AAF74119; EAW60947; Q14596; XP_024306517; ABA29231; EAW60950; XP_016880133; ABA29225; ABF14461; EAW60946; EAW60949; AAA93228; ABA29228; CAA54274; XP_011523115; ABA29210; ABA29222; BAH13002; BAA06417; XP_006721966; XP_016880131; NP_001278500; NP_001278501
NM_001358	; EAW92814; AAF90182; EAW92815; EAW92817; EAW92818; BAG64538; EAW92819; BAA23987; EAW92821; O43143; NP_001349; EAW92816; EAW92820; AAH35974
AF279891	AAF90182
NM_004181	EAW92981; EAW92982; EAW92983; ACV87176; AAY40923; P09936; BAG51393; ACY95405; EAW92979; AAH00332; BAG37761; EAW92980; AAH06305; CAA28443; EAW92978; BAD92275; AAH05117; ACI46047; NP_004172; AAD09172; CAA35249; 
NM_002809	; BAG61884; NP_002800; BAG57021; BAG62596; AAH00074; CAG33053; BAG51399; AAP35881; EAW60625; O43242; AAH20518; BAG51131; BAA23651; AAC72944; AAH04859; AAH25686; BAB71019; BAC04310; BAG60639; AAH12302
NM_002205	EAW96781; NP_002196; EAW96780; EAW96782; ; BAF84259; BAG65466; BAG35324; CAA29601; CBX47565; AAA52467; AAH08786; P08648; XP_024304738
NM_001320	CCI79683; ; CAA40442; CCI79681; CCI79684; CCI79690; CCI79695; CAA34811; AQY76763; BAB63386; EAX03474; CAG46500; CCI79692; ABC40727; AAI12020; CCI79682; NP_001311; AAD18081; AQY76764; EAX03472; BAG62356; EAX03473; EAX03475; BAG34801; AAM50092; AAI12018; CCI79696; P67870; CCI79680; CCI79691; CAA34379; NP_001269314
NM_016292	BAD93042; BAG61180; AAH23585; NP_001258978; AAC24722; CAI64498; BAD96925; ; EAW85342; AAA87704; NP_057376; AAH01455; AAF15314; AAH18950; AEE61119; EAW85338; EAW85340; EAW85341; BAD96769; BAD96796; AAC02679; AFS69159; XP_011520647; EAW85339; Q12931; BAG51942; BAC04139
BG031974	-
NM_000876	AAL04402; EAW47607; ; AAF16870; AAK56918; CAA58674; CAA58675; CAA62977; BAG62499; AAB35664; AAB35665; CAA68395; NP_000867; AAA59866; AAD14337; AAP37954; CAA58673; BAD92905; CAA58672; P11717
U23946	EAW65040; XP_011531564; ; AAD04159; ALQ33963; XP_006712980; AAF99551; BAG36742; AAA99715; AAB42216; BAJ19019; AAF02422; BAG59871; XP_016860994; P52756; XP_011531563; XP_016860992; XP_016860993; XP_024309058; NP_005769; EAW65041; ALQ33964; XP_024309057; EAW65042; BAD92050; BAG59728; BAG63975
NM_005778	EAW65040; XP_011531564; ; AAD04159; ALQ33963; XP_006712980; AAF99551; BAG36742; AAA99715; AAB42216; BAJ19019; AAF02422; BAG59871; XP_016860994; P52756; XP_011531563; XP_016860992; XP_016860993; XP_024309058; NP_005769; EAW65041; ALQ33964; XP_024309057; EAW65042; BAD92050; BAG59728; BAG63975
NM_003021	O43765; AAL01051; CAB39725; AAH08885; EAW69368; AAH05165; CAG47077; ; AAD13117; EAW69366; AAP29457; CAB43297; CAA11565; AAH00390; AAH02989; XP_011526480; EAW69367; BAG57017; CAG38548; NP_003012
NM_006623	AAK60577; AAD51414; BAG52685; AAD51413; BAG37755; CAG33076; ACI46039; NP_006614; EAW56708; AAH00303; XP_024302106; AAH01349; AAH11262; XP_011539533; ; AAH32110; XP_011539528; XP_011539529; XP_011539530; AAK60573; AAK60574; AAK60575; AAK60576; EAW56707; O43175; AAD51415
BC000687	AAH00687
NM_014294	EAW86966; BAG64464; CAA45218; NP_001304734; EAW86967; BAF82086; AAP36023; CAG46539; XP_016868755; ; Q15629; AAG35483; AAH00687; CAG46455; NP_001304733; BAF85466; AAH37738; XP_016868756; EAW86968; NP_055109
NM_002795	P49720; ADO22393; ; EAW60531; BAA05645; NP_002786; AAH13008
M80776	AAB60689; AAH37963; ALQ33354; ACA05909; XP_011543075; AAH90863; BAD92825; AAA58391; XP_024304144; EAW74582; ALQ33355; ; P25098; CAA43470; NP_001610; EAW74581
NM_001619	AAB60689; AAH37963; ALQ33354; ACA05909; XP_011543075; AAH90863; BAD92825; AAA58391; XP_024304144; EAW74582; ALQ33355; ; P25098; CAA43470; NP_001610; EAW74581
NM_004528	EAW90753; EAW90756; AAB82609; AAH03034; EAW90757; O14880; EAW90755; NP_004519; AAQ81301; BAD96732; AAH00505; CAG29355; ; EAW90752; EAW90754; BAG35039; AAH05964; ABD14425; XP_005245231
BC000268	EAX07406; EAX07407; P49721; AAI01837; AAI05127; NP_001186708; ; AAP35801; BAA05646; NP_002785; CAG33143; EAX07408; BAH12464; AEE61063; BAD92707; AAI07902; NP_001186709
NM_006833	CBU92376; ; AAD03469; EAL23857; EAW76602; CBF67503; EAW76601; Q7L5N1; AAH02520; NP_006824; BAG58230; BAG34961
NM_021029	AAH70204; AAH01781; AAH31015; AAB64204; NP_066357; AAH62219; ; EAX02860; EAX02861; EAX02859; P83881; AAX08138; CAG46995; BAA05780
AI186712	-
W67887	-
NM_002709	P62140; NP_996759; AAA85093; AAY24124; EAX00529; AAF01137; BAG58737; AAV38549; CAG47080; CAA56870; EAX00530; NP_002700; ; AAH02697; BAH14903; AAH12045; EAX00527; EAX00528; BAG35251; ACF94492; BAG64675; CAG47059
AI983043	-
NM_017958	EAW51266; BAG58779; AAH50695; XP_016859897; XP_016859902; NP_001253996; NP_001296377; EAW51260; EAW51262; BAG63978; XP_011509688; AAX93135; EAW51263; NP_001253991; NP_060428; Q96CS7; BAD97058; XP_016859898; EAW51265; BAA91379; XP_016859900; NP_001094093; NP_001253997; XP_011509687; XP_016859899; NP_001253995; EAW51261; BAG53942; BAG57269; AAH01428; AAH13991; NP_001253992; NP_001253994; NP_001296381; ; EAW51264; XP_016859901; NP_001253993; NP_001296379; NP_001296380
NM_014045	EAW66235; AAG17980; AAQ13610; NP_054764; AAD20037; AAQ88765; AAH88378; CAD61944; AAI13717; CAG33432; EAW66234; Q7Z4F1; CAD39174; AAH80648; XP_005267567; EAW66232; CAB45753; AAI13715; AAH64901; NP_001316155; ; EAW66233; BAF83719
NM_000414	EAW48911; BAG60363; BAG35356; ADO22526; ALQ33593; ALQ33596; NP_001361429; BAG52804; BAG56786; NP_001278957; NP_001361428; BAG58380; BAG62787; CAA60643; NP_000405; NP_001278956; NP_001361426; ALQ33595; NP_001361431; AAD08652; NP_001186221; NP_001361427; CAA72203; ALQ33594; P51659; BAG61592; AAH03098; NP_001361432; ; EAW48910; NP_001186220; NP_001361430
NM_005969	EAX02532; BAG35491; BAH14919; NP_001356317; ; BAG61467; BAH14613; NP_001356306; NP_001356307; EAX02533; NP_001356311; NP_001356314; EAX02534; BAH14695; AAH22090; NP_001356313; Q99733; NP_001356308; AAC50870; NP_001356305; NP_001356315; BAF81540; NP_001356304; NP_001356312; BAH95827; NP_001356309; NP_001356310; NP_005960
NM_000178	AAY57328; EAW76239; EAW76241; BAG75452; NP_001309423; ; EAW76240; BAH11461; BAH12750; NP_001309424; AAH07927; BAG35394; ACJ13672; AAL91591; P48637; ALQ33563; ACF94475; ALQ33564; AAB62390; NP_000169
BG528420	-
AL136179	CAA50018; AAH72668; Q06945; ; EAW55429; NP_003098; CAA46612
NM_003107	CAA50018; AAH72668; Q06945; ; EAW55429; NP_003098; CAA46612
NM_004656	BAG58349; NP_004647; ; AXS78008; EAW65220; BAB46926; AAN05092; BAA13401; XP_011532452; BAF85297; XP_011532453; EAW65221; Q92560; AAC15970; BAB46921; AAH01596; BAG52602; XP_011532451; XP_011532454; XP_016862792
BF975273	-
NM_024102	BAD38641; AAP79114; AEE61264; NP_077007; NP_001303993; EAW56493; EAW56494; AAL79917; BAG60450; BAG51128; BAG58902; BAD96909; AAH11778; NP_001303992; ; BAE45736; NP_001303991; AAH01679; AAH06477; AAH09411; AAH16946; Q9BQA1
NM_006332	AAF04618; ABI63377; EAW84662; EAW84665; AAL02170; AAH21136; ; EAW84666; P13284; AAH31020; AAD22672; EAW84664; BAC98466; BAF84240; EAW84661; EAW84663; NP_006323
AL037208	-
NM_003589	EAX09201; Q13619; BAG37354; BAA33146; AAD45191; NP_001341871; ; AAH08308; AAC50547; XP_011535825; NP_001265442; NP_001341868; NP_003580; BAD93235; NP_001008895; NP_001265443; NP_001341867; AAR13072; BAG59294; NP_001341869; NP_001341870; NP_001341872; NP_001341873
NM_000690	AAA51693; AAD48447; ABY79829; ACF25892; ACF25895; ACF25898; CBJ21219; EAW97973; EAW97975; NP_001191818; ; ABY79820; ABY79825; ACF25896; P05091; AAT41621; AAH71839; CAA68290; ABY79827; ACF25890; EAW97974; BAG62916; ABY79824; ABY79826; AAH02967; AAA62825; ABY79823; CAG33272; ADO22228; ABY79828; ACF25889; ACF25897; CBJ05767; EAW97976; AAB59500; ACF25893; ACF25894; NP_000681; ABY79821; ABY79822; ACF25891; BAD97093; AAA51694; CAA28990
AI922599	-
NM_005410	EAW56029; AAH15875; AAY26400; EAW56031; AAH46152; NP_001078955; EAW56032; P49908; CAA77836; EAW56027; AAH40075; NP_001087195; EAW56028; AAH58919; NP_005401; ; EAW56026; EAW56030
NM_001305	O14493; BAG54000; ; NP_001296; BAG54307; BAG54330; CAI29152; AAH00671; AAP35635; AAS07556; BAA22984; EAW69639
NM_000998	AAY15078; NP_000989; EAW70570; AAH14262; EAW70569; EAW70571; P61513; AAH16748; BAA05721; ; AAH67789; CAG46949; CAA47244; BAF84546; AAH63476; AAA60280; AAH00555; AAH82239; BAF82161
W72516	-
NM_001387	; BAA11192; NP_001378; AAF76324; BAG59706; AAH39006; XP_011535876; CAR95652; EAW61826; NP_001184223; CAA69153; CAT03391; Q14195; AAH77077; ABV80252; AEE61144
NM_001752	EAW68170; ADO22355; P04040; BAG37746; AAI10399; AAI12220; CAA27717; AAB59522; NP_001743; EAW68171; AAK29181; AAI12218; AAH27300; CAA27721; ; AAA16651; AAS37679; AOP17813; BAF84274; BAG63070
NM_014754	; NP_001277154; NP_055569; BAG56996; AAH04192; AAH04390; EAW91754; P48651; BAF85725; AAH02376; AAH04502; BAA03520; EAW91753
NM_003314	EAW61571; BAD96704; AAB36871; ; BAG37679; AAH00942; EAW61570; BAD96361; Q99614; NP_001269429; NP_003305
AW268640	-
AI742789	-
NM_001968	EAX06078; NP_001317946; AAC13647; CBL95069; EAX06080; BAH11967; AAH35166; NP_001124150; EAX06077; AAH12611; AAB07114; CAI79364; EAX06081; P06730; BAH13387; AAI07716; AHW56470; ; CBY65608; EAX06079; AAH43226; NP_001959; CBY65610; NP_001124151
NM_004369	P12111; BAD92873; BAG65607; ADO22347; NP_476506; EAW71106; EAW71110; BAG64366; ; CAE46068; XP_016858793; AAY24135; EAW71103; EAW71104; EAW71108; EAW71109; NP_004360; BAG52467; AAH33174; AAI44596; AAI50626; AAA52057; XP_005246122; XP_011508876; ADL14511; EAW71105; CAH56139; XP_006712316; XP_024308452; NP_476507; EAW71107; AAB24261; CAA29557; CAA36267; NP_476505; AAY14906; AAI71790; NP_476508
NM_004193	AAH94763; XP_006718112; XP_016872350; NP_001364066; NP_001364069; NP_001378854; NP_001378855; AAH07941; XP_006718110; XP_011538614; XP_011538615; NP_001186308; NP_001364070; NP_001378857; EAW49707; AAD15903; ; BAA13379; NP_001378853; NP_001378856; NP_001378860; XP_016872351; NP_001378852; AAH14171; AAH32543; AAI17682; XP_006718111; XP_011538616; NP_001186307; NP_001364068; NP_001378851; NP_001378858; Q92538; AAI17683; XP_006718113; NP_001364067; NP_001378859; NP_004184
NM_004818	EAW58014; ; AAH02366; EAW58012; EAW58016; BAG54673; EAW58015; Q9BUQ8; BAG57976; EAW58010; BAG35297; AAB87902; EAW58011; EAW58013; EAW58017; BAF85610; NP_004809
NM_001863	BAG35076; AAH02478; CAG46934; CAA32114; AAH01015; AAB57628; AAP35591; NP_001854; CAA41147; P14854; CAA38352; CAG33070; BAA05792; 
AF248966	AAG44564
NM_005765	AAG44564; AAR06910; ; AAH84541; CAA76984; AAL11062; EAW59424; BAC11582; BAH11525; BAH12399; BAH12660; AAH10395; NP_005756; BAH12473; BAH14319; AAM47531; CAB43210; AAK83467; AAQ13511; O75787
NM_001839	CAG46646; XP_016855734; NP_001272984; EAW73029; Q15417; BAG60421; CAC36092; BAG35288; AAB35752; NP_001830; CAC36093; AAH25372; ; BAG57467; BAH14769; NP_001272985
BF692742	-
H96549	-
AL046419	-
AL567227	-
NM_022037	EAW99827; XP_024308832; XP_024308835; NP_001338444; NP_001338447; NP_001338449; NP_071320; XP_024308834; NP_001338440; NP_001338442; NP_001338446; NP_001338450; XP_016860282; XP_016860283; XP_016860284; XP_024308831; EAW99824; XP_011531384; XP_016860281; XP_016860289; NP_001338443; NP_001338445; NP_001338454; NP_071505; BAD92448; ; AAH15944; XP_024308833; NP_001338438; NP_001338439; XP_005264585; XP_005264588; NP_001338437; NP_001338448; NP_001338452; AAD14053; AAX93193; EAW99825; EAW99826; P31483; BAG64407; NP_001338453; EAW99823; XP_016860285; NP_001338441; NP_001338451
D78132	BAA11211
AW138374	-
NM_005614	AAD15548; BAG54198; BAF82059; NP_005605; ; AAH66307; AAH16155; EAL24515; EAW53988; AAM12635; CAA82774; CDL93493; EAW53986; XP_011514759; EAW53987; Q15382; AAF73125; AAI07706; BAA11211; EAW53989; AAP35604; XP_024302622
AW055008	-
AJ132583	CAA10709
AU160695	-
AF081496	AAC36307
NM_004725	; EAW49284; O43684; AAC28438; NP_004716; AAL17976; EAW49285; EAW49287; AEE60940; NP_001007794; AAC06258; BAG56787; AAC28439; AAH22438; EAW49286; BAG35444; AAH05138; AAC36307
NM_006666	CAE91764; EAW52426; EAW52429; BAG62892; CAG38538; AAH08355; ; EAW52427; EAW52430; AAL02172; AAH04531; CAB46270; NP_006657; BAA76708; AAD38073; BAG51374; BAG51921; CAB66677; AAH00428; NP_001308119; AAD34041; BAC11048; Q9Y230; EAW52431; AAF87087; XP_011524632; NP_001308120; CAF85776; EAW52428
AI141802	-
NM_004759	EAW93527; ; EAW93525; EAW93531; EAW93528; EAW93530; EAW93532; NP_004750; EAW93526; EAW93529; AAH36060; AAH52584; NP_116584; CAA53094; XP_005273410; P49137; XP_016858299
NM_014766	CAF06501; Q12765; BAG58619; BAA12106; AAQ96874; CCA61719; EAL24458; NP_001138986; EAW93928; BAE91926; BAF82203; NP_001138987; EAW93926; BAG57983; AAH40492; XP_024302775; CBX33278; BAG56957; NP_001138985; ; EAW93927; BAG58182; BAG58557; NP_055581
NM_006755	AAL31313; BAG58447; P37837; AEE61193; BAG36219; AAH18847; AAC52068; AAH10103; AAB53943; ; AAC51151; EAX02377; NP_006746; AAF40478; EAX02378; EAX02379
BG491844	-
BC002646	EAX06628; AAH68522; ; P05412; AAO22993; AAH06175; CAG46552; NP_002219; AAA59197; CAM91157; AAH09874; CAG46525; BBJ35461; AAV38564
NM_002228	EAX06628; AAH68522; ; P05412; AAO22993; AAH06175; CAG46552; NP_002219; AAA59197; CAM91157; AAH09874; CAG46525; BBJ35461; AAV38564
AI039874	-
NM_000903	BAG60289; BAH14617; NP_000894; CBX47453; BAD96770; NP_001020605; AAB60701; AAP20940; CBX51347; EAW83283; CBX47454; BAG61007; NP_001020604; CBX47455; P15559; AAH07659; AAI07740; NP_001273066; ; EAW83282; EAW83284; BAG59630; BAG35286; AAA59940
AI809967	-
NM_004832	EAW49604; P78417; NP_001177932; EAW49603; AAF73376; AAB70109; EAW49602; AAH00127; ACJ13673; EAW49601; CAD97673; NP_001177931; NP_004823; ; AAV68046; BAG36430
NM_003900	; EAW53787; QUP08140; CEF39368; BAG65614; NP_003891; AAA93299; Q13501; AAH03139; BAG53577; BAG56993; EAW53786; AAH01874; AAH19111; QUP08141; NP_001135771; BAG35358; AAH00951; AAH17222; AAC52070; NP_001135770; AAC64516
NM_003372	BAG36212; CAA76761; ; EAW72627; EAW72629; AAV38411; NP_001290474; NP_003363; BAG63125; AAC50617; NP_001290473; P61758; EAW72628; EAW72630; AAH46094; NP_001290472; AAC23907; CAI41469; CAG46730
NM_002229	BAG36478; AAA59198; AAA74915; AAU43800; CAA35738; ; BAD96252; AAH04250; AAV38565; NP_002220; EAW84307; P17275; AAH09465; AAH09466
NM_002204	EAW94647; BAG56841; AEE61007; EAW94646; AAI44329; BAG64440; AAH43917; XP_005257365; EAW94645; AAI50191; BAF82650; ; EAW94648; P26006; BAA00845; AAA36120; NP_002195; BAD92895; AAI36637; AEE61009
NM_004990	BAG57322; AAH15011; NP_004981; EAW97019; BAD96487; AAH02384; CAA64381; CAA89153; EAW97020; P56192; BAG64411; AAH11639; AAH11849; BAF83546; BAA95668; CBX51367; BAG53819; XP_006719461; ; BAC04011; AAH06328; AAP36002
AI692974	-
NM_001033	BAG63322; BAG63343; CAA42118; AAH06498; P23921; AAD37491; EAX02583; BAG60296; NP_001024; NP_001304994; BAG64450; ; BAD96506; BAG61557; NP_001304993; NP_001317122; CAA42180
U59151	NP_001135935; NP_001275676; CAA11970; EAW72661; CAB51168; AAH09928; AAB94299; CAB39106; O60832; AGZ20497; AGZ20498; AAD11815; AAH10015; AGZ20499; EAW72662; AAD20232; EAW72663; ADX66370; NP_001354; 
NM_001363	NP_001135935; NP_001275676; CAA11970; EAW72661; CAB51168; AAH09928; AAB94299; CAB39106; O60832; AGZ20497; AGZ20498; AAD11815; AAH10015; AGZ20499; EAW72662; AAD20232; EAW72663; ADX66370; NP_001354; 
NM_003169	; EAW56897; BAG58160; BAG64109; NP_003160; EAW56899; O00267; BAG58866; BAG64516; AAC51102; EAW56900; NP_001104490; EAW56898; CAA73326; NP_001124297; AAH24203; XP_016882663; NP_001306919; BAA24075; AAD02179; CCQ43204; EAW56896; BAD92494; NP_001124296; NP_001306920
NM_002862	EAX10092; AAH30795; EAX10093; EAX10091; P11216; AAH17045; BAG61600; NP_002853; AAA59597; ; BAD92317; AAB60395; AAL99928
NM_002826	BAF83576; AAQ89300; AEE61282; BAD92517; NP_002817; AAA89173; AAC09010; ; NP_001004128; EAW91076; O00391; AAI00024; EAW91077; AAM00263; BAF83531; AAH17692
BC002802	AAH02802
NM_003168	BAG34925; NP_003159; ; EAW94467; AAB07814; EAW94465; AAH02802; P63272; CAG28591; EAW94464; EAW94466; BAC85230; AAB18675; AAB18674
BC004892	AAH04892
NM_002902	; AAH04892; CCQ43195; Q14257; BAG36566; EAW99216; AAP88792; CAA55343; NP_001258766; NP_002893
NM_001814	; AAC51341; AFK75983; AFK76014; AFK76015; AFK76025; AFK75985; AFK75999; AFK76005; AFK76018; AFK76027; AFK76028; AFK76029; BAD96758; AFK75977; AFK75981; AFK76006; AFK76011; AFK76019; AAQ08887; AAI00892; AFK75978; AFK75989; AFK76003; AFK76016; AAI00895; AAI09387; AAI10072; NP_680475; AFK75976; AFK75988; AFK75992; AFK75998; AFK76009; AFK76020; AFK76026; EAW59363; EAW59364; AAL48195; BAG58920; AAH54028; AAI13851; AAI13898; CAD97897; NP_001805; AFK75979; AFK75982; AFK75993; AFK75997; AFK76007; AFK76013; AFK76017; AFK76022; AFK76024; P53634; BAG34864; AAI00894; CAA60671; NP_001107645; AFK75984; AFK75986; AFK75987; AFK75991; AFK75995; AFK76001; AFK76002; AFK76010; AFK76021; AFK76023; AAL48192; AAQ08888; AFK75980; AFK75990; AFK75994; AFK75996; AFK76000; AFK76004; AFK76008; AFK76012; AAL48191; BAF84806; AAI00893
BC000717	AAH00717
BC005020	AAH05020
NM_005729	; EAW54645; AAI10300; P30405; BAG59266; EAW54646; BAG35623; XP_005269436; AAH05020; EAW54648; EAW54647; AAQ89213; AAA58434; NP_005720
NM_012111	BAG62431; O95433; ; AAF29000; CAB45684; BAG36559; EAW81291; AAH07398; AAF80755; AAH00321; NP_001308370; AAD09623; EAW81292; NP_036243
NM_021104	EAW96887; NP_001030344; ; P62945; BAA28285; EAW96886; AAB82715; BAA31508; BAA05828; CAA78306; NP_066927
BE778078	-
NM_005040	BAG52417; AAA99891; BAG70211; ; BAG52238; BAG35764; AAH01500; EAW75075; NP_001306143; BAG70084; XP_005274150; NP_955450; EAW75074; P42785; EAW75076; BAH13692; NP_005031
AI889739	-
S67238	AAB28950
NM_022844	AAB69326; AAI04907; CAA49154; XP_011520804; XP_016878739; NP_001035202; ; EAW53925; EAW53926; EAW53927; AAI43365; AAB28951; EAW53924; EAW53929; BAA36971; AAC35212; BAA74889; AAB69327; AAS98911; AAH31040; AAC31665; EAW53928; AAH80545; CAH18331; NP_002465; ACZ58374; P35749; AAI01678; ACB05996; AAB28950; ACZ58373; EAW53930; AAS98910; NP_001035203; ADO22484; NP_074035
AI160440	-
NM_003470	NP_001273386; EAW85194; NP_001308787; NP_003461; XP_016879142; BAH13721; NP_001273387; BAH13828; XP_016879141; Q93009; ; CBJ21210; BAH13841; BAH14812; AAQ82908; CAA96580; EAW85195; BAH13801
NM_021959	; BAB63334; BAE78601; EAX03253; AAI04751; XP_006715237; AAC52082; AAI02012; AQY77040; AQY77041; EAX03254; AAH03144; AAI02011; CAC16919; BAG35992; BAC54919; O60927; CAC16920; NP_068778
NM_002092	Q12849; AAH40485; BAG52934; BAG53131; BAH12895; EAX05631; NP_001091947; EAX05632; ; BAG51822; XP_011530199; BAG51526; BAC86863; EAX05634; BAG54012; BAH12303; EAX05633; AAY40942; BAC03513; BAG53414; BAH11824; AAC95399; NP_002083
AI078167	-
BG500067	-
AI435302	-
NM_002291	; EAW83424; AAA59486; EAL24388; AAH26018; NP_002282; CCQ43174; AAA59482; P07942; BAG64534; XP_016867690; AAA59487; XP_016867691; EAW83423; AAI13456; AAA59485; AAS07514
NM_000358	; AAB88698; ALQ33815; EAW62199; BAD92835; BAD96553; BAH14005; AAP88822; NP_000349; BAG52785; AAH00097; AAB88697; EAW62200; Q15582; BAG52805; AAB88695; AAB88696; AAC08449; AAC24944; EAW62198; BAG52893; AAH04972; AAA61163; AAN10294; ACT75673; ALQ33816; BAG60787
NM_002622	EAW62072; ; AAH06202; CAA76759; AAH11869; EAW62071; XP_005268522; EAW62070; BAD97114; BAG37749; NP_002613; O60925; AAH03620
NM_001552	; P22692; AAA62670; AAV38695; EAW60665; AAV38694; NP_001543; AAR05443; BAG65363; AAH16041; BAF83499; CAA73110; EAW60664; AAB06189
NM_006899	EAX10579; EAX10580; O43837; BAG62200; AAH01960; NP_001245313; EAX10582; BAA91971; BAG38008; ; EAX10581; NP_001317692; CCO13746; EAX10578; NP_777280; EAX10583; CAB43266; AAF20164; NP_008830
AF017307	AAB67238
NM_001087	EAW70601; AAA68889; XP_024308480; NP_001078; EAW70600; Q13685; AAH08809; CAG33036; ; BAD93027; EAW70599; AAH39866; NP_001289474; AAH20244
BC003633	AAH03633
AI659180	-
NM_005754	; CAI46067; NP_005745; AAV38191; CAI46065; EAW61660; BAG35467; AAB07787; EAW61659; BAG61899; AAI08279; CAG38772; NP_938405; CAH05301; Q13283; AAH06997; EAW61662; BAH13990; EAW61661; BAC85272; BAD96326
NM_004622	EAW95262; NP_001248330; CAA73150; BAD96588; AAV38297; NP_004613; AAV38298; AAY14831; BAH12364; AAH02359; EAW95263; Q15631; CAA55341; BAG52440; BAH12875; 
NM_003132	AAA60574; AAH33106; NP_003123; P19623; ; EAW71676; XP_016857668; EAW71675; AAH00309; AAA36633
BC001255	AAH01255
NM_006807	EAW94759; EAW94761; BAG35502; AAH21302; EAW94760; AAH02609; CAG33047; NP_001120700; NP_006798; ; AAB81548; P83916; EAW94758; AAD21972
NM_014820	; BAA34439; BAG52067; BAG63999; O94826; AAH52994; NP_055635; EAW79822; EAW79823; BAG52062; AAH03633
BF034561	-
NM_007362	EAW53621; EAW53624; BAG59919; AAV85455; CAA58962; XP_011510858; ; P52298; EAW53622; EAW53623; BAG38188; BAA09599; NP_001036005; NP_031388; BAG58884; BAH14274; AAP35488; XP_011510860; NP_001294965; BAG52672; AAH01255; EAW53620; CAD97614; XP_011510859
NM_003097	EAW57623; AAH03180; CAG29346; AAA36617; CAA33901; NP_001336385; NP_001336387; NP_001336392; NP_001336393; NP_001365180; NP_001365186; EAW57622; NP_001336388; NP_001336390; EAW57617; P63162; BAG53873; AAH25178; NP_001336389; NP_001365185; AAD54487; EAW57614; BAD96353; NP_001336391; NP_001365181; NP_001365182; EAW57615; EAW57621; AAK92481; NP_001365184; NP_073717; AHW56586; AAA98969; CAA34288; NP_001336383; NP_001336384; NP_073718; NP_073719; ; EAW57616; EAW57618; EAW57619; AAH00611; NP_001336386; NP_001365183; NP_003088; NP_073716; EAW57613; EAW57620; AAH24777; NP_001336394; NP_001365178
BE262760	-
NM_003348	EAW97481; AAH03365; AAH00396; BAA11675; EAW97482; AAI08705; P61088; ACI46046; ; EAW97480; AAP35519; NP_003339
NM_001647	CAG46572; ; BAG57734; AAV38664; NP_001638; BAG35026; AAV38663; AAB35919; AAH07402; CAG33119; AAB59517; AAA51764; EAW78023; EAW78024; P05090
NM_001662	EAL24320; AAM12598; EAW83630; P84085; BAG59555; AAP35750; EAW83631; BAG35043; AAC51299; AAH03043; AAA90927; ; AAH33104; NP_001653
NM_004231	BAA08392; EAW83693; NP_004222; EAW83692; ; AAI07855; CAG33177; BAG35147; NP_001185838; AAI04232; EAL24110; Q16864; AAI04231
BG398414	-
NM_002945	EAW90574; AAQ13598; AAA36584; NP_001342050; AAS94324; P27694; NP_001342049; BAF82393; BAD92969; XP_024306631; NP_002936; ; AAH18126
NM_001416	BAF82142; AAV38683; NP_001407; AAF34151; BAG59261; EAW90169; BAG64614; ; AAH09585; EAW90166; BAG60234; AAH73752; BAA02897; NP_001191439; EAW90167; P60842; BAF84660; BAG64309; BAG35515; AAV38684; EAW90168
NM_003407	BAG36751; NP_003398; AAV28731; CBX47646; EAW56886; AAA58489; AAH09693; ; P26651; EAW56885; AAC37600; AAA61240
NM_002788	CAG33214; AAV38520; EAW80716; P25788; AAH29402; AAH05265; BAA00659; AEE61180; ; EAW80717; EAW80718; EAW80719; AAH38990; EAW80715; EAW80722; AAP35357; NP_002779; NP_687033; EAW80720; EAW80721; BAG37603
NM_001904	AAL89457; NP_001895; P35222; BAB93475; BAG61781; NP_001317658; EAW64628; BAG70078; CAA61107; XP_006713048; XP_024309126; NP_001091680; AAR18817; CCH22596; BAG59368; AAH58926; XP_016861227; XP_024309127; XP_024309128; AAD32267; EAW64625; EAW64626; CAA79497; EAW64627; XP_006713046; ; ACD11099; ACD11101; AEW16366; BAG70206; BAF82621; BAG57905; XP_024309124; XP_024309125; NP_001091679
AF044221	AAD02323
NM_007106	EAX08448; BAG51754; BAG34788; EAX08447; O95164; CAB45762; AAH59385; AAD02323; AAH44582; EAX08446; CAG38489; ; NP_009037
AL048503	-
